Name,NRK,Position,Details,Tipe,Status,Urgent
John Doe,477910,HR Specialist,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Diterima,1
Charlie Wilson,826044,Operations Supervisor,"Proposing a budget to launch a targeted advertising campaign aimed at millennials, utilizing digital platforms and social media to boost brand awareness and drive sales growth.",Anggaran,Diterima,1
Charlie Wilson,826044,Operations Supervisor,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Diterima,1
John Doe,477910,Marketing Director,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Requesting a budget for the strategic expansion of our branch network in the southeast region to capture untapped market opportunities, enhance customer service, and increase our overall market share.",Anggaran,Ditolak,0
Bob Brown,101943,Finance Analyst,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Ditolak,0
Charlie Wilson,826044,Operations Supervisor,"Requesting a budget allocation for upgrading the internal IT infrastructure to enhance transaction processing speeds, increase system reliability, and bolster cybersecurity measures in light of recent data breaches.",Anggaran,Diterima,1
Bob Brown,101943,Finance Analyst,"Proposing a budget for the development and marketing of a new eco-friendly product line, which aligns with our corporate sustainability goals and aims to attract environmentally conscious consumers.",Anggaran,Ditolak,0
Alice Johnson,885424,Marketing Director,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Proposing a budget to launch a targeted advertising campaign aimed at millennials, utilizing digital platforms and social media to boost brand awareness and drive sales growth.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Requesting financial support for the research, development, and marketing of a new eco-friendly product line designed to meet the increasing consumer demand for sustainable products and reduce our environmental footprint.",Anggaran,Ditolak,0
Alice Johnson,885424,Marketing Director,"Proposing a budget to launch a targeted advertising campaign aimed at millennials, utilizing digital platforms and social media to boost brand awareness and drive sales growth.",Anggaran,Diterima,1
Jane Smith,219586,IT Manager,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Diterima,1
Charlie Wilson,826044,Operations Supervisor,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Ditolak,0
Alice Johnson,885424,Marketing Director,"Requesting funds to overhaul our internal IT system, focusing on increasing transaction capacity and improving overall system performance to support our growing business needs.",Anggaran,Ditolak,0
Charlie Wilson,826044,Operations Supervisor,"Requesting funds to overhaul our internal IT system, focusing on increasing transaction capacity and improving overall system performance to support our growing business needs.",Anggaran,Diterima,1
Charlie Wilson,826044,Operations Supervisor,"Requesting a budget for the strategic expansion of our branch network in the southeast region to capture untapped market opportunities, enhance customer service, and increase our overall market share.",Anggaran,Diterima,1
Alice Johnson,885424,Marketing Director,"Requesting a budget for the strategic expansion of our branch network in the southeast region to capture untapped market opportunities, enhance customer service, and increase our overall market share.",Anggaran,Diterima,1
Bob Brown,101943,Finance Analyst,"Seeking budget approval for initiatives aimed at streamlining our operations through the adoption of lean manufacturing principles and cutting-edge automation technology, with the goal of achieving significant cost savings.",Anggaran,Ditolak,0
Bob Brown,101943,Finance Analyst,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Requesting financial support for the research, development, and marketing of a new eco-friendly product line designed to meet the increasing consumer demand for sustainable products and reduce our environmental footprint.",Anggaran,Diterima,1
Alice Johnson,885424,Marketing Director,"Seeking budget approval for initiatives aimed at streamlining our operations through the adoption of lean manufacturing principles and cutting-edge automation technology, with the goal of achieving significant cost savings.",Anggaran,Ditolak,0
Charlie Wilson,826044,Operations Supervisor,"Proposing a budget to launch a targeted advertising campaign aimed at millennials, utilizing digital platforms and social media to boost brand awareness and drive sales growth.",Anggaran,Ditolak,0
John Doe,477910,HR Specialist,"Seeking budget approval for initiatives aimed at streamlining our operations through the adoption of lean manufacturing principles and cutting-edge automation technology, with the goal of achieving significant cost savings.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Requesting a budget for the strategic expansion of our branch network in the southeast region to capture untapped market opportunities, enhance customer service, and increase our overall market share.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Ditolak,0
John Doe,477910,HR Specialist,"Requesting a budget allocation for upgrading the internal IT infrastructure to enhance transaction processing speeds, increase system reliability, and bolster cybersecurity measures in light of recent data breaches.",Anggaran,Diterima,1
Bob Brown,101943,Finance Analyst,"Requesting a budget for the strategic expansion of our branch network in the southeast region to capture untapped market opportunities, enhance customer service, and increase our overall market share.",Anggaran,Diterima,1
John Doe,477910,HR Specialist,"Requesting funds to overhaul our internal IT system, focusing on increasing transaction capacity and improving overall system performance to support our growing business needs.",Anggaran,Diterima,1
Bob Brown,101943,Finance Analyst,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Ditolak,0
John Doe,477910,HR Specialist,"Seeking budget approval for initiatives aimed at streamlining our operations through the adoption of lean manufacturing principles and cutting-edge automation technology, with the goal of achieving significant cost savings.",Anggaran,Diterima,1
Charlie Wilson,826044,Operations Supervisor,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Ditolak,0
Charlie Wilson,826044,Operations Supervisor,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Diterima,1
John Doe,477910,Marketing Director,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Ditolak,0
Jane Smith,219586,IT Manager,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Ditolak,0
Bob Brown,101943,Finance Analyst,"Proposing a budget for the expansion of our branch network in the southeast region, which includes site acquisition, construction, and staffing to improve our market presence and service delivery capabilities.",Anggaran,Diterima,1
Charlie Wilson,826044,Operations Supervisor,"Proposing a budget for the development and marketing of a new eco-friendly product line, which aligns with our corporate sustainability goals and aims to attract environmentally conscious consumers.",Anggaran,Diterima,1
Bob Brown,101943,Finance Analyst,"Requesting funds to overhaul our internal IT system, focusing on increasing transaction capacity and improving overall system performance to support our growing business needs.",Anggaran,Diterima,1
Muhammad Wahyu Ilham,2131097,CTO,"Seeking funds to streamline our business operations through the integration of advanced automation tools and process optimization techniques, with an expected outcome of reducing operational costs by 15%.",Anggaran,Pending Di Manager Divisi,0
Ahmad Fadillah,121140173,CTO,"Proposing a budget to launch a targeted advertising campaign aimed at millennials, utilizing digital platforms and social media to boost brand awareness and drive sales growth.",Anggaran,Pending Di Manager Divisi,0
